,id,x,y,z,rxns,all,MCM_v3.3.1,MCM_v3.1,MCM_v3.2,CRI_v2.0.r5,CRI_v2.0.r4,CRI_v2.0.r1,CRI_v2.0.r3,CRI_v2.0.r2,CRI_v2.2
159,BCKSZOO,0.2878024377142565,0.7692951843148259,0.49018230641142324,False,True,True,False,True,False,False,False,False,False,False
160,BCLKACO,-0.2398070853707175,0.2991700571709166,-0.185974518671416,False,True,True,False,True,False,False,False,False,False,False
161,BCLKAO,-0.007461102389070606,0.5729718354319386,-0.07885618315212584,False,True,True,False,True,False,False,False,False,False,False
162,BCLKAO2,-0.012329061454651957,0.5702185121532042,-0.07545875230839427,False,True,True,False,True,False,False,False,False,False,False
163,BCLKAOH,-0.24658583986333682,0.2885557328750308,-0.18333942534419856,False,True,True,False,True,False,False,False,False,False,False
164,BCLKAOOH,-0.005454587370639086,0.5636903300480518,-0.07767648316574327,False,True,True,False,True,False,False,False,False,False,False
165,BCLKBCO,0.34418432015344624,0.3913086177264915,-0.015225726920237603,False,True,True,False,True,False,False,False,False,False,False
166,BCLKBO,0.2563348525821465,0.5578548630353197,-0.2607437986912927,False,True,True,False,True,False,False,False,False,False,False
167,BCLKBO2,0.2583506813565808,0.5520763915681668,-0.2592654707213179,False,True,True,False,True,False,False,False,False,False,False
168,BCLKBOC,0.1669476931163505,0.5200536634982991,-0.4812378010468703,False,True,True,False,True,False,False,False,False,False,False
169,BCLKBOH,0.3437389197426268,0.4012692469573147,-0.011486426760889734,False,True,True,False,True,False,False,False,False,False,False
170,BCLKBOOH,0.25581199123031473,0.5506471186559574,-0.26970359380860576,False,True,True,False,True,False,False,False,False,False,False
171,BCLKCCO,0.041427310053554045,0.8184823401494163,-0.1111007427475208,False,True,True,False,True,False,False,False,False,False,False
172,BCLKCO,-0.04976035521374378,0.6464390936831401,0.29055117169675637,False,True,True,False,True,False,False,False,False,False,False
173,BCLKCO2,-0.0438351465187532,0.6499289747816632,0.2882290404963437,False,True,True,False,True,False,False,False,False,False,False
174,BCLKCOH,-0.0463764186763862,0.6471624986847184,0.2758099388170987,False,True,True,False,True,False,False,False,False,False,False
175,BCLKCOOH,-0.05687103906014068,0.6462461856827191,0.28221443400441015,False,True,True,False,True,False,False,False,False,False,False
176,BCLKET,0.21438283686864135,0.7658140717617763,0.4049830259854126,False,True,True,False,True,False,False,False,False,False,False
177,BCOOA,0.2843821683069483,0.45433516888218595,0.007408840821728768,False,True,True,False,True,False,False,False,False,False,False
178,BCOOB,0.46423771287350135,0.7651038195784086,0.03882832713381634,False,True,True,False,True,False,False,False,False,False,False
179,BCSOZ,0.2914601617919299,0.7713119497737717,0.5010762552528663,False,True,True,False,True,False,False,False,False,False,False
180,BCSOZNO3,0.30256750744063066,0.7662963417628286,0.489484711441752,False,True,True,False,True,False,False,False,False,False,False
181,BCSOZO,0.180805824325041,0.49456700922451,0.04336938370351251,False,True,True,False,True,False,False,False,False,False,False
182,BCSOZO2,0.18560978589888122,0.4902660376696715,0.04285431015741281,False,True,True,False,True,False,False,False,False,False,False
183,BCSOZOH,0.1944633870257535,0.48842902739293614,0.0356351578308618,False,True,True,False,True,False,False,False,False,False,False
184,BCSOZOOH,0.17897949820986847,0.4992292448528639,0.03632940816711705,False,True,True,False,True,False,False,False,False,False,False
185,BENZAL,0.0928157282596418,0.20816570797236156,0.6803438283151886,False,True,True,True,True,False,False,True,True,True,True
186,BENZENE,-0.04886987714602542,-0.04504401809827785,0.3158824695817535,False,True,True,True,True,True,True,True,True,True,True
187,BIACET,-0.039540582847473416,-0.4984128932692645,0.035255303035732766,False,True,True,True,True,False,False,False,False,False,False
188,BIACETO,-0.13367084171917187,0.31002332433096,0.36557703288013554,False,True,True,True,True,False,False,False,False,False,False
189,BIACETO2,-0.13873669504595787,0.31093832205113836,0.36430989462015706,False,True,True,True,True,False,False,False,False,False,False
190,BIACETOH,-0.06346384118662785,-0.030992423976710648,0.20586457579297668,False,True,True,True,True,False,False,False,False,False,False
191,BIACETOOH,-0.1459968139577238,0.30918987408368714,0.3634665691944927,False,True,True,True,True,False,False,False,False,False,False
192,BOCOCH2OOH,-0.343502387226322,0.5412647749991233,0.061210613955243964,False,True,True,True,True,False,False,False,False,False,False
193,BOX2COMOH,-0.6611959877076864,-0.2054768335028585,0.3488758448185658,False,True,True,True,True,False,False,False,False,False,False
194,BOX2COMOOH,-0.1142908520011896,-0.3233747500964541,0.5919021646945275,False,True,True,True,True,False,False,False,False,False,False
195,BOX2E2OH,-0.6532839058757351,-0.19762284732208624,0.34378005690654856,False,True,True,True,True,False,False,False,False,False,False
196,BOX2ECHO,-0.24604269112219235,-0.6837492546736348,0.3005234351296404,False,True,True,True,True,False,False,False,False,False,False
197,BOX2EOHAO,-0.26426998826558956,-0.15537906422082692,0.7036176988444289,False,True,True,True,True,False,False,False,False,False,False
198,BOX2EOHAO2,-0.26863777096920705,-0.15778427624425662,0.7040572792362769,False,True,True,True,True,False,False,False,False,False,False
199,BOX2EOHBO,-0.6657883149248329,-0.20259899687839777,0.349423886894054,False,True,True,True,True,False,False,False,False,False,False
200,BOX2EOHBO2,-0.6603752705945819,-0.20973177019396017,0.3513150381885466,False,True,True,True,True,False,False,False,False,False,False
201,BOX2MO,-0.25337289374249317,-0.6861079934060538,0.30808230665032577,False,True,True,True,True,False,False,False,False,False,False
202,BOX2MO2,-0.24765000564819362,-0.6824076672161623,0.30786633889259174,False,True,True,True,True,False,False,False,False,False,False
203,BOX2OHAOOH,-0.26748600054868166,-0.1556311599031952,0.6944342910930024,False,True,True,True,True,False,False,False,False,False,False
204,BOX2OHBOOH,-0.6542060599354032,-0.20342411700747076,0.35267678179372686,False,True,True,True,True,False,False,False,False,False,False
205,BOX2PROL,-0.3932475268980812,-0.22294158395005437,0.5010045845368041,False,True,True,True,True,False,False,False,False,False,True
206,BOXCHO,-0.26265253004493194,-0.683420434218372,0.313251198692726,False,True,True,True,True,False,False,False,False,False,False
207,BOXCOALOOH,-0.10424260029001742,-0.24143137736312292,0.6231792651840384,False,True,True,True,True,False,False,False,False,False,False
208,BOXCOCHO,-0.6615832924127469,-0.19291939953000592,0.3509896531376244,False,True,True,True,True,False,False,False,False,False,False
209,BOXCOCHOO,-0.10777537249260538,-0.24611071165515064,0.6200209756295674,False,True,True,True,True,False,False,False,False,False,False
210,BOXCOCHOO2,-0.10315445849960925,-0.2465846515380029,0.6198967463883931,False,True,True,True,True,False,False,False,False,False,False
211,BOXCOCOME,-0.4863177696781913,-0.3713215951737926,0.287584959661332,False,True,True,True,True,False,False,False,False,False,False
212,BOXCOCOMO,-0.12052461344454513,-0.32630870541194634,0.5965129807611906,False,True,True,True,True,False,False,False,False,False,False
213,BOXCOCOMO2,-0.12114983389699996,-0.32677080775840894,0.5972918025423992,False,True,True,True,True,False,False,False,False,False,False
214,BOXCOEOL,-0.4000032275392089,-0.21294061941005216,0.5146698010659823,False,True,True,True,True,False,False,False,False,False,False
215,BOXCOEOLO,-0.5733285381322231,-0.38120813019536315,0.6454640798316216,False,True,True,True,True,False,False,False,False,False,False
216,BOXCOEOLO2,-0.5728905149538808,-0.3762933604573673,0.6442743459449902,False,True,True,True,True,False,False,False,False,False,False
217,BOXCOOLOOH,-0.5670855551482709,-0.3793755041913648,0.6402703419409863,False,True,True,True,True,False,False,False,False,False,False
218,BOXEOHANO3,-0.2600290017451765,-0.1617309985619585,0.7014341310284034,False,True,True,True,True,False,False,False,False,False,False
219,BOXEOHBNO3,-0.660430599838162,-0.20424003016379644,0.3413542420702327,False,True,True,True,True,False,False,False,False,False,False
220,BOXFORMO2,-0.17514564270679878,-0.13360851951878217,0.9410818933491965,False,True,True,True,True,False,False,False,False,False,False
